Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
20-11-2023,25.4,35.2,29.8,73,0,9,6,360,3,N 
21-11-2023,25,36.2,29.1,75,0,4.4,9,20,2,C 
22-11-2023,24,37.2,30.3,71,8888,6,6,330,2,C 
23-11-2023,24.6,37.2,29.9,71,0.2,8,7,360,2,N 
24-11-2023,24.4,33.4,28.3,79,0.4,6.8,7,360,2,C 
25-11-2023,24,34,27.8,82,0,3.3,6,20,2,C 
26-11-2023,24,32.6,26.7,88,2.9,6.6,8,20,2,C 
27-11-2023,24,30.6,26.5,83,9.4,3.3,6,10,2,C 
28-11-2023,22.2,34,28.9,70,8888,1.7,6,10,2,N 
29-11-2023,23.6,33,29,75,0.2,7,6,360,2,N 
30-11-2023,25.8,34,28.7,77,,3.5,6,360,2,C 
01-12-2023,22.8,35.6,28.8,76,1.5,7,7,10,3,N 
01-12-2023,22.8,35.6,28.8,76,1.5,7,7,10,3,N 
02-12-2023,23.2,33.8,28.2,79,8.5,7.8,6,10,2,N 
03-12-2023,23.6,34.4,28.4,79,0,4.4,7,10,2,N 
04-12-2023,23.4,34.8,28.5,77,4,8.3,8,360,2,C 
05-12-2023,24,34.8,28.3,77,8888,7.6,7,360,2,C 
06-12-2023,24.2,34.8,29,73,0.2,5.6,6,340,2,N 
07-12-2023,24,35,29.4,72,0,6.3,9,10,3,N 
08-12-2023,24,33,28.8,75,0,9,8,30,2,C 
09-12-2023,24.6,32.6,27.3,80,0,0.5,6,10,2,C 
10-12-2023,22.4,34.8,26.7,84,0.1,2.3,10,10,2,C 
11-12-2023,22.2,33.2,28.4,76,2,4.7,7,360,3,N 
12-12-2023,23.6,35,29.3,69,0,9.3,6,360,2,N 
13-12-2023,23.8,36,29.1,74,0,8.5,8,20,2,C 
14-12-2023,24.2,34,28.4,76,0,7.3,6,360,2,N 
15-12-2023,24.8,34.8,29.1,72,0,0.3,7,10,2,C 
16-12-2023,25.2,34.8,30.7,67,0,6.3,7,20,3,N 
